Character,DealtWinRate,FinalHandWinRate,ActionSuccessRate,BlockSuccessRate,BluffRate,BluffSuccessRate,ChallengedRate,AvgTurnsSurvived,TimesDealt,WinsWhenDealt,PowerScore
Ambassador,26.81%,29.02%,56.17%,81.41%,60.64%,35.05%,64.19%,8.79,1486017,398450,0.4013
Duke,28.50%,30.58%,53.44%,69.55%,63.42%,33.49%,65.90%,8.87,1486461,423672,0.3943
Captain,29.26%,27.12%,19.82%,80.08%,64.73%,30.24%,69.23%,9.04,1485917,434852,0.3565
Contessa,19.71%,25.24%,0.00%,75.70%,41.69%,41.71%,55.39%,8.34,1486931,293108,0.2733
Assassin,22.06%,27.45%,30.66%,0.00%,69.73%,39.01%,59.50%,8.35,1485016,327567,0.2552
